"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"Q4,Q7,Q6,Q2";"TO-92_Inline";4;"BC548";;;
2;"Q1,Q3,Q5";"TO-92_Inline";3;"BC558";;;
3;"R11,R16,R9,R4,R2,R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";6;"6k8";;;
4;"R5,R25,R19,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"1k2";;;
5;"R10,R17,R20,R6,R13,R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";6;"1k";;;
6;"R1,R15,R8,R24";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"3k3";;;
7;"J1";"PinHeader_1x08_P2.54mm_Horizontal";1;"RGB Input";;;
8;"R23";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4k7";;;
9;"R14,R21,R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"75";;;
10;"R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"470";;;
11;"J2";"PinHeader_1x05_P2.54mm_Horizontal";1;"DAC Output";;;
12;"C1";"CP_Radial_D5.0mm_P2.00mm";1;"100uf";;;
13;"U1";"DIP-14_W10.16mm";1;"74HCT32";;;
14;"D1";"D_DO-35_SOD27_P7.62mm_Horizontal";1;"1N4148";;;
